logged_at_utc,sport,market_type,market_ticker,title,reason,prev_price_cents,curr_price_cents,price_delta_cents,prev_volume,curr_volume,volume_delta
2026-09-25T18:01:30.292627+00:00,cfb,game,KXNCAAFGAME-26OCT03ALAMSST-MSST,Mississippi St. wins,price moved -8c,41,33,-8,3018,3042,24
2026-09-25T18:01:30.292627+00:00,cfb,spread,KXNCAAFSPREAD-26SEP25HARVBRWN-HARV22,Harvard wins by over 21.5 points,price moved -7c,32,25,-7,19,669,650
2026-09-25T18:01:30.292627+00:00,cfb,spread,KXNCAAFSPREAD-26SEP25HARVBRWN-HARV22,Harvard wins by over 21.5 points,volume spike x35.2,32,25,-7,19,669,650
2026-09-25T18:01:30.292627+00:00,cfb,spread,KXNCAAFSPREAD-26SEP25HARVBRWN-HARV18,Harvard wins by over 17.5 points,price moved -15c,47,32,-15,2389,3241,852
2026-09-25T18:01:30.292627+00:00,cfb,spread,KXNCAAFSPREAD-26SEP25NWIND-IND12,Indiana wins by over 11.5 points,volume spike x6.0,72,72,0,412,2456,2044
2026-09-25T18:01:30.292627+00:00,cfb,total,KXNCAAFTOTAL-26SEP25HARVBRWN-30,Over 29.5 points scored,price moved -28c,93,65,-28,1617,1686,69
2026-09-25T18:01:30.292627+00:00,cfb,total,KXNCAAFTOTAL-26SEP25HARVBRWN-34,Over 33.5 points scored,price moved +75c,0,75,75,0,1,1
2026-09-25T18:01:30.292627+00:00,cfb,total,KXNCAAFTOTAL-26SEP26UCLAMD-56,Over 55.5 points scored,price moved +54c,0,54,54,0,179,179
2026-09-25T18:01:30.292627+00:00,cfb,total,KXNCAAFTOTAL-26SEP26RMUBUFF-64,Over 63.5 points scored,price moved +13c,0,13,13,0,171,171
2026-09-25T18:01:30.292627+00:00,cfb,total,KXNCAAFTOTAL-26SEP26APPNCST-74,Over 73.5 points scored,price moved +13c,0,13,13,0,100,100
2026-09-25T18:01:30.292627+00:00,mlb,game,KXMLBGAME-26SEP262140LAASEA-LAA,Los Angeles A wins,volume spike x3.6,36,36,0,356,1282,926
2026-09-25T18:01:30.292627+00:00,mlb,spread,KXMLBSPREAD-26SEP251305CHCBOSG1-CHC2,Chicago C wins by over 1.5 runs?,price moved -7c,70,63,-7,349004,352638,3634
2026-09-25T18:01:30.292627+00:00,mlb,spread,KXMLBSPREAD-26SEP251305CHCBOSG1-CHC3,Chicago C wins by over 2.5 runs?,price moved -10c,53,43,-10,135360,145908,10548
2026-09-25T18:01:30.292627+00:00,mlb,spread,KXMLBSPREAD-26SEP251305CHCBOSG1-CHC4,Chicago C wins by over 3.5 runs?,price moved -9c,39,30,-9,111228,112988,1760
2026-09-25T18:01:30.292627+00:00,mlb,spread,KXMLBSPREAD-26SEP251305CHCBOSG1-CHC5,Chicago C wins by over 4.5 runs?,price moved -8c,28,20,-8,3608,3764,156
2026-09-25T18:01:30.292627+00:00,mlb,spread,KXMLBSPREAD-26SEP251305CHCBOSG1-CHC6,Chicago C wins by over 5.5 runs?,price moved -7c,19,12,-7,3588,3590,2
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251305CHCBOSG1-5,Over 4.5 runs scored,price moved +7c,89,96,7,18245,22232,3987
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251305CHCBOSG1-6,Over 5.5 runs scored,price moved +8c,77,85,8,66599,67129,530
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251305CHCBOSG1-7,Over 6.5 runs scored,price moved +11c,64,75,11,907589,910253,2664
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251305CHCBOSG1-8,Over 7.5 runs scored,price moved +9c,48,57,9,292326,307362,15036
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251305CHCBOSG1-9,Over 8.5 runs scored,price moved +6c,39,45,6,164970,173493,8523
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251305CHCBOSG1-10,Over 9.5 runs scored,price moved +5c,26,31,5,37898,39349,1451
2026-09-25T18:01:30.292627+00:00,mlb,total,KXMLBTOTAL-26SEP251940STLMIL-11,Over 10.5 runs scored,price moved +27c,0,27,27,0,1000,1000
